proposicion,estado,evidencia_a_favor,evidencia_en_contra_falsificador,alcance,gap_restante
"El +11,3 pp FX Q4-2023 identifica un pagador sectorial directo",REJECTED_AS_IDENTITY,"BCRA documenta un descalce FX alto y gross legs de depósitos, crédito, liquidez y forwards.",La revaluación de una posición neta no requiere pagador bilateral; gross counterparties are mixed.,Q4-2023 FX,gross-account counterparty and trading-vs-revaluation decomposition
"El piso BCRA del subtotal Q4-2023 sigue siendo 26,8%",STRONG_SUPPORT,"Primas por pases +7,7 pp tienen contraparte contractual BCRA.",Títulos pueden sumar exposición BCRA pero su share no está identificado; no aumentar el piso.,Q4-2023 BCRA direct counterparty,securities instrument-level accounting
"El techo estricto aislado para ingreso contractual directo de hogares en Q4-2023 es 2,1 pp (7,3% del gross-positive subtotal)",SUPPORTED_AS_BUCKET_CEILING_NOT_ESTIMATE,"Interest_income es +2,1 pp; CER es negativo y servicios no aportan abnormal positive en la tabla congelada.",No identifica share household dentro de intereses; otros/FX pueden contener relaciones privadas no aisladas.,Q4-2023 explicitly isolated household-compatible positive bucket,sector split of interest income and finer FX/other accounts
V53 strict-classified mass 66.2% is a valid joint counterparty partition,REVOKED_AS_JOINT_PARTITION,Pases and FX are separate accounting rows and together sum 19.0/28.7=66.2%.,"The labels used different axes: BCRA is a counterparty, while valuation is an accounting mode; additionally FX differences include trading as well as remeasurement.",Q4-2023 diagnostic taxonomy,Build one-axis counterparty partition and a separate accounting-mode partition.
The +11.3 pp FX gap is a quantitative market-valuation floor,REVOKED,Large positive FX mismatch and devaluation make remeasurement mechanically important.,BCRA definition of diferencias de cotización also includes FX purchase/sale result; no split by mode is recovered.,Q4-2023 FX result,Recover remeasurement vs trading subaccounts.
The +2.1 pp aggregate interest-income gap is a strict ceiling on household contribution,REVOKED_WITHOUT_SIGN_RESTRICTION,Households have direct loan/card contracts and the aggregate interest-income gap is +2.1 pp.,An individual sector contribution can exceed the aggregate if another sector contribution is negative; sector signs are not observed.,Q4-2023 interest income,Sectoral accrued-interest subaccounts or a reconciled stock×effective-rate bridge.
Q4-2023 direct BCRA counterparty floor is 7.7 pp = 26.83% of gross-positive subtotal,STRONG_SUPPORT,Primas por pases are direct BCRA-counterparty accruals and the same-window abnormal gap is +7.7 pp.,Does not identify fiscal/taxpayer incidence and is not net ROA.,Q4-2023 same-window gross-positive diagnostic,Possible additional BCRA-linked securities share remains N/D.
V54 can allocate the +7.3 pp securities gap by issuer from public issuer-stock series alone,REJECTED,BCRA publishes public-security holdings by issuer/jurisdiction.,"Result line mixes instruments and rent, price differences, TIR accretion, sales and impairment; issuer stock != result share.",Q4-2023 securities,Raw result subaccounts and same-window reconciliation.
V54 raw-source SHA256 gate passed,FAILED_RUNTIME_NETWORK,Canonical official binary endpoints were identified and verified from BCRA pages.,Container/runtime could not materialize the binary bytes; SHA256 therefore cannot be computed.,V54 source provenance,Network-capable runtime or user-provided raw bytes.
Counterparty and accounting treatment can be combined as one classification axis,REJECTED,Both are useful descriptors of the same accounting component.,A Treasury-issued security can generate market valuation without contemporaneous Treasury cashflow; a BCRA instrument can have accrual and market-price effects. Axes are orthogonal.,All securities/FX incidence mapping,Maintain separate counterparty_axis and accounting_mode_axis.
V54 identifies a positive direct household share of the abnormal bank result,NOT_IDENTIFIED,Direct household contracts exist in credit/fees/UVA lines.,No same-window sectoral subaccount was recovered and V53 household ceiling was invalid without sign restrictions.,Distributional incidence,Raw subaccounts / reconciled accrual bridge.
V55 · BCRA detailed result subaccount schema is locally materialized,SUPPORTED_SCHEMA_ONLY,User GitHub contained BCRA es_series.txt; SHA256 46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b; codes 1150-1192 define detailed result accounts,Current official BCRA page says catalog TXT version updated through 2021; no 2023 value bytes materialized,account dictionary / methodology,materialize din1_ser/baldethis values and verify 2023 continuity/perimeter
V55 · interest-income result can be split into loan/pass/FX-forward/other accounting sources,SUPPORTED_SCHEMA_NOT_VALUES,Codes 1151-1156 explicitly provide those subaccounts,No Q3/Q4 2023 observations recovered; loan subaccount still mixes borrower sectors and indexation,accounting-source axis,same-window values + sector-specific flow accounts
V55 · public-security result account isolates a public instrument family,SUPPORTED_SCHEMA_NOT_TARGET_RECONCILIATION,Code 1185 is net investment result in public securities,"It mixes rent, FX, adjustments/update, sales and impairment; does not identify issuer jurisdiction/BCRA; compatibility with frozen +7.3 pp unproven",securities accounting family,2023 values + account-equivalence bridge
V55 · strict Q4 counterparty mass exceeds 7.7 pp,NOT_ESTABLISHED,No new common-axis value split recovered,All additional schema splits remain value-missing or sector-mixed,Q4 2023 gross-positive counterparty partition,21.0 pp remains unresolved
V56 · los 23 IDs de subcuentas 1150-1162 y 1183-1192 permanecen en el catálogo oficial moderno,STRONG_SUPPORT,"El cache oficial Series_estadisticas.xlsx (consulta repo 2026-08-21; SHA256 verificado) contiene los mismos 23 cd_serie, todos Mensual y Ubicación TXT=DIN1.",La continuidad del ID publicado no prueba por sí sola que el mapeo interno de cuentas NIIF/SISCEN sea idéntico.,published-series metadata bridge,materializar Tabla 10/relaciones conceptuales y valores 2023
V56 · continuidad de ID publicado equivale a continuidad exacta de la cuenta contable NIIF,REJECTED_AS_IDENTITY,Los IDs y descripciones publicadas muestran continuidad fuerte.,Las notas metodológicas presentan cambios/reformateos y no se recuperó el bridge formal SISCEN/plan de cuentas para 2023.,NIIF account mapping,relaciones conceptuales oficiales / Tabla 10
V56 · valores Sep-Dic 2023 de las subcuentas detalladas fueron materializados,FAILED_RUNTIME_NETWORK,La página BCRA confirma formato TXT estándar y DIN1; API v4 permite consulta por IdVariable y rango de fechas.,din1_ser supera el límite de navegación; runtime sin DNS hacia API; binarios alternativos no se materializaron.,2023 numeric subaccounts,ejecutar fetch_bcra_v4_values.py en runtime con red
"V56 · la reconciliación numérica de +7.3 títulos, +2.1 intereses, -0.2 CER y +11.3 FX está cerrada",NOT_RUN_VALUES_MISSING,Ya existe el esquema de series y continuidad de IDs.,Faltan observaciones 2023 y bridge contable interno para algunas mezclas.,Q4-2023 abnormal components,valores mensuales + denominador/normalización compatible
V56 · contraparte directa BCRA mínima Q4-2023 cambia,NO_CHANGE,Ningún nuevo share disjunto fue cuantificado.,Sólo pases conserva identidad directa BCRA ya congelada.,Q4 counterparty partition,7.7 pp / 26.83% permanece piso estricto
